ds home task
"November 1, 2020 - January 31, 2021"
Week,Campaign,Campaign ID,Currency,Clicks,Impressions,CTR,Avg. CPC,Cost,Impr. (Abs. Top) %,Impr. (Top) %,Conversions,View-through conv.,Cost / conv.,Conv. rate,Search Impr. share,Search Lost IS (budget),Search Lost IS (rank)
"Week of Nov 30, 2020",GM - ML1 - KW1 #QA V1 ניסיון חוזר,11506931205,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 30, 2020",USA - Slow metabolism #QA V1 NOT ACTIVE,11756730128,USD,18,173,10.40%,1.02,18.32,40.35%,78.95%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Nov 30, 2020",Global - Vertical 1 #TOP #QA CPA (Display),11791361240,USD,1,19,5.26%,0.66,0.66,80.00%,93.33%,0.00,0,0.00,0.00%,22.06%,0.00%,77.94%
"Week of Dec 7, 2020",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,397,"3,996",9.93%,1.87,740.58,87.48%,92.62%,2.45,0,302.28,0.62%,51.43%,0.00%,48.57%
"Week of Dec 7, 2020",Shopping – Smart US-1 #QA V2,11283176294,USD,"2,971","415,796",0.71%,4.16,"12,358.71",0.00%,0.00%,164.80,0,74.99,5.55%,82.09%,0.00%,17.91%
"Week of Dec 7, 2020",GM - REM5 - GLOBAL2 #QA V2 תקין,11565589823,USD,30,"2,101",1.43%,0.03,0.83,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 7, 2020",Smart Global - TOP COUNTRY  1 #QA WL V1 מעקב צמוד,11661592991,USD,"1,060","146,311",0.72%,0.40,421.41,0.00%,0.00%,16.00,168,26.34,1.51%, --, --, --
"Week of Dec 7, 2020",Global-Metabolic-Flexability #QA V3,11717997024,USD,135,"74,617",0.18%,0.83,111.81,51.43%,62.60%,0.00,0,0.00,0.00%,37.23%,0.00%,62.77%
"Week of Dec 7, 2020",USA - Healthy weight loss #QA  V1 NOT ACTIVE,11754150201,USD,172,"1,860",9.25%,1.26,217.17,39.45%,96.05%,0.00,0,0.00,0.00%,13.08%,0.00%,86.92%
"Week of Dec 7, 2020",Gmail - REM1 - GLOBAL #QA V1 (HP) תקין,11756077373,USD,"5,082","27,637",18.39%,0.14,724.55,0.00%,0.00%,1.00,30,724.55,0.02%, --, --, --
"Week of Dec 7, 2020",USA - Weight Loss General #QA V1 NOT ACTIVE,11756298176,USD,424,"11,436",3.71%,1.36,578.38,20.65%,85.22%,0.00,0,0.00,0.00%,11.82%,0.00%,88.18%
"Week of Dec 7, 2020",USA - Sustainable Weight Loss #QA V1,11756454932,USD,7,176,3.98%,1.55,10.84,14.20%,88.27%,0.00,0,0.00,0.00%,18.16%,0.00%,81.84%
"Week of Dec 7, 2020",Global - Vertical 1 #TOP #QA CPA (Display),11791361240,USD,49,"1,105",4.43%,1.53,75.01,82.26%,86.02%,0.00,0,0.00,0.00%,25.31%,0.00%,74.69%
"Week of Dec 7, 2020",Shopping – Smart US3 #QA V1,11808460267,USD,0,0,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Dec 14, 2020",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,233,"2,796",8.33%,2.11,491.29,86.92%,90.97%,4.00,0,122.82,1.72%,61.28%,0.00%,38.72%
"Week of Dec 14, 2020",USA - Sustainable Weight Loss #QA V1,11756454932,USD,14,250,5.60%,1.62,22.66,18.26%,91.78%,0.00,0,0.00,0.00%,20.96%,0.00%,79.04%
"Week of Dec 14, 2020",Shopping – Smart US2 #QA V1,11803256790,USD,"1,253","161,879",0.77%,4.06,"5,089.58",0.00%,0.00%,21.00,0,242.36,1.68%,85.03%,0.00%,14.97%
"Week of Dec 14, 2020",GM - REM3 - UK& AS #QA V1,11820807025,USD,322,"32,819",0.98%,0.25,81.75,0.00%,0.00%,0.00,6,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",Global 1 -  Keto #QA V1,11854231645,USD,116,"2,216",5.23%,1.02,117.77,47.13%,93.27%,1.00,0,117.77,0.86%,<10%,0.00%,>90%
"Week of Dec 14, 2020",GM - REM1 - GLOBAL1 - ACTIVE #QA,11848768071,USD,2,981,0.20%,0.00,0.00,0.00%,0.00%,0.00,2,0.00,0.00%, --, --, --
"Week of Dec 14, 2020",Smart Global 2 #QA V1 **,11852194013,USD,263,"39,390",0.67%,0.29,76.73,0.00%,0.00%,1.00,8,76.73,0.38%, --, --, --
"Week of Dec 14, 2020",Shopping – Smart GLOBAL1 #QA V2,11875192303,USD,182,"25,291",0.72%,1.97,358.66,0.00%,0.00%,0.80,0,448.32,0.44%,91.10%,0.00%,8.90%
"Week of Dec 21, 2020",Global 1 -  Keto #QA V1,11854231645,USD,282,"3,939",7.16%,1.03,291.19,43.41%,90.22%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Dec 21, 2020",Shopping – Smart GLOBAL1 #QA V2,11875192303,USD,56,"11,031",0.51%,2.37,132.73,0.00%,0.00%,0.00,0,0.00,0.00%,95.81%,0.00%,4.19%
"Week of Dec 21, 2020",US -  Keto #QA V1 בדיקה ROAS,11893915374,USD,28,462,6.06%,0.81,22.74,25.11%,70.48%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Dec 21, 2020",Shopping – Smart US3 #QA V1\,11414872314,USD,95,"14,196",0.67%,2.77,263.11,0.00%,0.00%,0.00,0,0.00,0.00%,51.69%,0.00%,48.31%
"Week of Dec 21, 2020",Gmail - REM1 - GLOBAL #QA V1 (SP) תקין,11936527143,USD,291,544,53.49%,0.07,21.16,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 28, 2020",Global-Metabolic-Flexability #QA,10195325662,USD,14,587,2.39%,1.95,27.35,50.84%,53.94%,1.00,0,27.35,7.14%,45.20%,0.00%,54.80%
"Week of Dec 28, 2020",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,567,"5,903",9.61%,1.91,"1,083.76",84.37%,94.55%,1.50,0,722.51,0.26%,72.82%,0.00%,27.18%
"Week of Dec 28, 2020",GM - REM1 - NA #QA V2,11268506295,USD,"18,153","3,722,897",0.49%,0.20,"3,701.64",0.00%,0.00%,16.00,41,231.35,0.09%, --, --, --
"Week of Dec 28, 2020",Discovery - US2 #QA V1 RG,11854293748,USD,106,"13,818",0.77%,0.75,79.71,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Dec 28, 2020",Gmail - REM1 - GLOBAL #QA V1 (SP) תקין,11936527143,USD,"13,706","30,172",45.43%,0.11,"1,490.73",0.00%,0.00%,0.00,10,0.00,0.00%, --, --, --
"Week of Dec 28, 2020",NA2 - Fitness Tracker #QA V3 Desktop,11462385993,USD,207,"7,991",2.59%,1.70,351.45,24.30%,72.75%,0.00,0,0.00,0.00%,<10%,41.90%,54.45%
"Week of Jan 4, 2021",Global-Metabolic-Flexability #QA,10195325662,USD,23,952,2.42%,3.19,73.29,64.74%,67.22%,0.00,0,0.00,0.00%,52.23%,0.00%,47.77%
"Week of Jan 4, 2021",Shopping – Smart US-1 #QA V2,11283176294,USD,"2,601","558,847",0.47%,3.50,"9,109.39",0.00%,0.00%,122.09,0,74.61,4.69%,47.13%,0.00%,52.87%
"Week of Jan 4, 2021",Smart Global 1 #QA V3 לא פעיל,11591976877,USD,"5,564","7,104,559",0.08%,0.74,"4,094.37",0.00%,0.00%,7.00,27,584.91,0.13%, --, --, --
"Week of Jan 4, 2021",NA2 - Fitness Tracker #QA V4 Desktop,12016486060,USD,174,"5,411",3.22%,1.85,321.72,14.45%,59.73%,1.00,0,321.72,0.57%,<10%,0.00%,>90%
"Week of Jan 11, 2021",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,530,"5,484",9.66%,1.79,950.18,81.78%,92.11%,1.50,0,633.45,0.28%,58.79%,0.00%,41.21%
"Week of Jan 11, 2021",GM - REM1 - NA #QA V2,11268506295,USD,690,"569,265",0.12%,0.78,535.00,0.00%,0.00%,4.00,281,133.75,0.58%, --, --, --
"Week of Jan 11, 2021",USA - Slow metabolism #QA V2,12048609329,USD,83,"3,024",2.74%,6.53,542.01,59.56%,75.26%,0.00,0,0.00,0.00%,33.26%,0.00%,66.74%
"Week of Jan 11, 2021",US -  Keto #QA V3 פעיל,12048873338,USD,120,"2,078",5.77%,2.86,343.75,34.59%,88.45%,0.00,0,0.00,0.00%,11.14%,0.00%,88.86%
"Week of Jan 11, 2021",NA - Nutrition plan #QA V2,12049060251,USD,13,360,3.61%,3.92,50.99,21.94%,59.54%,0.00,0,0.00,0.00%,10.71%,0.00%,89.29%
"Week of Jan 11, 2021",GM - ML4 - KW1 #QA V1*,12053473090,USD,67,"73,105",0.09%,0.64,42.56,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Jan 11, 2021",Smart Global 2 #QA VN1 **,12053883553,USD,36,"16,564",0.22%,0.50,17.89,0.00%,0.00%,0.00,1,0.00,0.00%, --, --, --
"Week of Jan 11, 2021",GM - REM2 - GLOBAL3 #QA V1,12071397065,USD,7,"2,702",0.26%,0.00,0.00,0.00%,0.00%,0.00,4,0.00,0.00%, --, --, --
"Week of Jan 11, 2021",Shopping – Smart US3 #QA V1\,11414872314,USD,236,"39,862",0.59%,2.84,670.56,0.00%,0.00%,2.00,0,335.28,0.85%,61.78%,0.00%,38.22%
"Week of Jan 18, 2021",USA - Sustainable Weight Loss #QA V1,11756454932,USD,21,915,2.30%,2.55,53.59,23.51%,89.07%,0.00,0,0.00,0.00%,39.00%,0.00%,61.00%
"Week of Jan 18, 2021",USA - Low carb diet plan #QA V2,12048852884,USD,17,560,3.04%,3.79,64.43,19.44%,73.89%,0.00,0,0.00,0.00%,<10%,0.00%,>90%
"Week of Jan 18, 2021",USA - Natural weight loss #QA V2,12052751275,USD,22,593,3.71%,3.78,83.16,31.69%,68.31%,0.00,0,0.00,0.00%,15.22%,0.00%,84.78%
"Week of Jan 18, 2021",Shopping – Smart GLOBAL #QA V2,12157933373,USD,20,"4,114",0.49%,0.92,18.30,0.00%,0.00%,0.00,0,0.00,0.00%,85.40%,0.00%,14.60%
"Week of Jan 25, 2021",Global - Vertical 1 #QA V1 Desktop,11182662212,USD,435,"4,687",9.28%,2.03,883.92,73.87%,90.70%,0.00,0,0.00,0.00%,48.69%,0.00%,51.31%
"Week of Jan 25, 2021",GM - REM1 - NA #QA V2,11268506295,USD,"3,041","1,358,503",0.22%,0.36,"1,094.70",0.00%,0.00%,5.00,72,218.94,0.16%, --, --, --
"Week of Jan 25, 2021",Smart Global - TOP COUNTRY  1 #QA WL V1 מעקב צמוד,11661592991,USD,"14,261","11,198,858",0.13%,0.47,"6,692.82",0.00%,0.00%,41.00,141,163.24,0.29%, --, --, --
"Week of Jan 25, 2021",USA - Sustainable Weight Loss #QA V1,11756454932,USD,16,697,2.30%,2.64,42.22,26.31%,89.71%,0.00,0,0.00,0.00%,41.56%,0.00%,58.44%
"Week of Jan 25, 2021",Shopping – Smart US1 #QA V4,12157761770,USD,10,"7,714",0.13%,0.79,7.94,0.00%,0.00%,0.00,0,0.00,0.00%,34.74%,0.00%,65.26%
"Week of Jan 25, 2021",Shopping – Smart GLOBAL #QA V2,12157933373,USD,767,"138,270",0.55%,1.14,875.28,0.00%,0.00%,4.06,0,215.64,0.53%,87.29%,0.00%,12.71%
"Week of Oct 26, 2020",Discovery - IMA - GLOBAL #QA V1 TCPA NOT ACTIVE,11508722555,USD,0,11,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Oct 26, 2020",Apps1 - Daniel #QA V1 (לשקול בדיקה נוספת),11516503817,USD,139,"12,048",1.15%,0.17,23.50,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 2, 2020",NA-Fitness-Tracker #QA TRIPLE V1 TCPA (לשקול גלובלי),11507362248,USD,82,"15,977",0.51%,2.97,243.86,26.95%,69.18%,0.00,0,0.00,0.00%,<10%,22.13%,69.69%
"Week of Nov 2, 2020",Discovery - REM - Global #QA V1 RG1,11508644810,USD,"25,920","3,023,855",0.86%,0.07,"1,748.10",0.00%,0.00%,2.00,534,874.05,0.01%, --, --, --
"Week of Nov 2, 2020",Apps1 - Daniel #QA V1 (לשקול בדיקה נוספת),11516503817,USD,"2,183","201,990",1.08%,0.32,698.35,0.00%,0.00%,2.00,0,349.17,0.09%, --, --, --
"Week of Nov 2, 2020",Shopping – Smart CA1 #QA V1 תקין,11524814537,USD,1,276,0.36%,3.62,3.62,0.00%,0.00%,0.00,0,0.00,0.00%,96.89%,0.00%,3.11%
"Week of Nov 2, 2020",Shopping – Smart AS1 #QA V1 תקין,11524835486,USD,7,454,1.54%,2.93,20.54,0.00%,0.00%,0.00,0,0.00,0.00%,99.10%,0.00%,0.90%
"Week of Nov 2, 2020",Shopping – Smart SA1 #QA V1 תקין,11525338702,USD,12,686,1.75%,0.20,2.39,0.00%,0.00%,0.00,0,0.00,0.00%,100.00%,0.00%,0.00%
"Week of Nov 2, 2020",US - Metabolism-Tracking #QA V1 Desktop,10195325419,USD,327,"6,372",5.13%,4.00,"1,307.61",57.06%,78.75%,8.00,0,163.45,2.45%,16.40%,0.09%,83.51%
"Week of Nov 2, 2020",Shopping – Standard1 NA #QA תקין,11522004390,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,50.00%,0.00%,50.00%
"Week of Nov 2, 2020",Shopping – Smart SZ1 #QA V1 תקין,11524835252,USD,0,1,0.00%,0.00,0.00,0.00%,0.00%,0.00,0,0.00,0.00%,100.00%,0.00%,0.00%
"Week of Nov 2, 2020",Discovery - Affinity audience - GLOBAL #QA V2 ** שינוי,11563396200,USD,"29,694","2,624,158",1.13%,0.03,836.62,0.00%,0.00%,0.00,4,0.00,0.00%, --, --, --
"Week of Nov 2, 2020",Discovery - CAS3 - GLOBAL #QA V1 שינוי,11567796120,USD,217,"23,340",0.93%,0.49,105.53,0.00%,0.00%,0.00,2,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Discovery - REM - Global #QA V1 RG1,11508644810,USD,"12,055","859,235",1.40%,0.12,"1,487.71",0.00%,0.00%,19.00,237,78.30,0.16%, --, --, --
"Week of Nov 9, 2020",Apps1 - Daniel #QA V1 (לשקול בדיקה נוספת),11516503817,USD,"3,210","365,414",0.88%,0.41,"1,324.30",0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Discovery - IMA - GM #QA V2 TCPA,11537672877,USD,"4,743","785,402",0.60%,0.15,705.35,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Global - Branded #QA,10419629499,USD,"1,612","21,885",7.37%,0.28,446.20,62.92%,90.50%,154.93,0,2.88,9.61%,19.64%,0.00%,80.36%
"Week of Nov 9, 2020",Shopping – Smart US1 #QA V1 #BF תקין,11564175051,USD,98,"18,995",0.52%,2.80,274.62,0.00%,0.00%,0.00,0,0.00,0.00%,68.07%,0.00%,31.93%
"Week of Nov 9, 2020",Discovery - REM - Global #QA V1 RG2 תקין,11604736493,USD,"3,452","316,787",1.09%,0.13,441.03,0.00%,0.00%,26.00,34,16.96,0.75%, --, --, --
"Week of Nov 9, 2020",Discovery - CAS1 - NA #QA V1,11506650672,USD,"3,358","361,363",0.93%,0.24,808.46,0.00%,0.00%,0.00,10,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Discovery - VP2 - NA #QA V1,11508744854,USD,"1,104","144,901",0.76%,0.33,359.99,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 9, 2020",Discovery - VP1 - NA #QA V2,11591892898,USD,"2,636","479,944",0.55%,0.41,"1,086.38",0.00%,0.00%,5.00,7,217.28,0.19%, --, --, --
"Week of Nov 9, 2020",Discovery - Affinity - NA #QA V1,11611934379,USD,349,"112,782",0.31%,4.14,"1,445.86",0.00%,0.00%,1.00,10,"1,445.86",0.02%, --, --, --
"Week of Nov 16, 2020",US - Metabolism-Tracking #QA V1 Desktop,10195325419,USD,901,"12,033",7.49%,1.61,"1,447.41",48.90%,82.87%,11.00,0,131.58,1.22%,19.86%,0.00%,80.14%
"Week of Nov 16, 2020",Discovery - VP2 - NA #QA V1,11508744854,USD,407,"72,085",0.56%,0.34,139.87,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",Discovery - VP1 - NA #QA V2,11591892898,USD,"4,365","874,683",0.50%,0.53,"2,324.35",0.00%,0.00%,0.00,12,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",GM - NA - Topics 1 #QA V1 תקין,11592272311,USD,94,"31,010",0.30%,0.28,26.49,0.00%,0.00%,0.00,0,0.00,0.00%, --, --, --
"Week of Nov 16, 2020",Shopping – Smart GLOBAL1 #QA V1,11564174841,USD,212,"39,433",0.54%,1.88,398.28,0.00%,0.00%,7.50,0,53.10,3.54%,90.54%,0.00%,9.46%
"Week of Nov 23, 2020",US - Metabolism-Tracking #QA V1 Desktop,10195325419,USD,953,"11,962",7.97%,1.55,"1,473.94",49.25%,84.38%,17.40,0,84.71,1.83%,22.05%,0.00%,77.95%
"Week of Nov 23, 2020",GM - REM2 - HTML5 - GLOBAL #QA V1 תקין,11449707518,USD,"18,667","1,431,093",1.30%,0.15,"2,804.90",0.00%,0.00%,11.00,51,254.99,0.06%, --, --, --
"Week of Nov 23, 2020",Shopping – Smart GLOBAL1 #QA V1,11564174841,USD,350,"56,302",0.62%,2.12,740.41,0.00%,0.00%,18.80,0,39.38,5.37%,95.08%,0.00%,4.92%
"Week of Nov 23, 2020",Shopping – Smart GLOBAL2 #QA V1 BF,11690367586,USD,5,"1,507",0.33%,2.86,14.29,0.00%,0.00%,0.00,0,0.00,0.00%,91.22%,0.00%,8.78%
